Year,1 hr,3 hrs,6 hrs,12 hrs,24 hrs
1988,13.8,24.9,35.9,48.8,62.2
1989,17.6,28.4,40,56.4,85
1990,9.4,18,25.7,38.1,45
1991,8,15.4,21.8,34,36.6
1992,12,21.7,31.9,46.8,56.9
1993,12,22.3,32.4,46.9,57.4
1994,9.1,18,25.7,37.8,44.4
1995,13.2,23.7,33,48.2,61.6
1996,18.9,29.4,41.5,57.9,85.3
1997,14.8,25.2,37.6,50.3,67.3
1998,19.6,35.8,41.7,58,92.6
1999,15.4,25.4,37.8,51.3,68.5
2000,10.6,21.3,30.7,41.1,55
2001,35.6,44.4,49.5,70.3,110
2002,14.3,25,36,49.6,63.1
2003,10,20.5,28.3,40,51.9
2004,9.6,18.2,25.8,38.5,48.5
2005,11.6,21.5,31.7,43.6,56.4
2006,16,25.4,37.8,53.7,69
2007,13,23.4,32.8,48,61.5
2008,14.4,25.1,37.5,50,65
2009,16.7,27.6,39.7,56.4,74.7
2010,9.7,19.8,26.9,39.9,49.3
2011,8,16,25,34.3,38
2012,25,41.9,45.7,62.3,94
2013,13.2,24,35.2,48.7,61.9
2014,12.8,22.7,32.4,47.1,61.1
2015,7,12,20.3,27.4,30
2016,16.5,26.3,38.7,55.3,69.6
2017,8.4,17.4,25.6,34.8,40.7
