"class","lepton_pT","lepton_eta","lepton_phi","missing_energy_magnitude","missing_energy_phi","jet1pt","jet1eta","jet1phi","jet1b.tag","jet2pt","jet2eta","jet2phi","jet2b.tag","jet3pt","jet3eta","jet3phi","jet3b.tag","jet4pt","jet4eta","jet4phi","jet4b.tag","m_jj","m_jjj","m_lv","m_jlv","m_bb","m_wbb","m_wwbb","id"
1,0.907542109,0.329147279,0.359411865,1.497969866,-0.31300953,1.095530629,-0.55752492,-1.588229775,2.173076153,0.812581182,-0.213641927,1.271014571,2.214872122,0.49999395,-1.261431813,0.732156157,0,0.398700893,-1.138930082,-0.00081911,0,0.302219898,0.833048165,0.985699654,0.978098392,0.779732168,0.992355764,0.798342586,1
1,0.798834741,1.470638752,-1.635974765,0.453773171,0.425629169,1.104874611,1.282322288,1.381664276,0,0.851737201,1.540658951,-0.819689512,2.214872122,0.993489921,0.356080115,-0.208777547,2.548224449,1.256954551,1.128847599,0.900460839,0,0.909753263,1.108330488,0.985692203,0.951331258,0.803251505,0.865924418,0.780117571,2
0,1.344384789,-0.876626015,0.935912728,1.992050052,0.882454395,1.786065936,-1.646777749,-0.942382514,0,2.423264742,-0.676015794,0.736158669,2.214872122,1.298719764,-1.430738091,-0.364658177,0,0.745312691,-0.67837882,-1.360356331,0,0.946652472,1.02870369,0.998656094,0.728280604,0.86920023,1.026736498,0.957903981,3
0,1.595839262,-0.607810676,0.007074916,1.818449616,-0.111905992,0.847549915,-0.566437006,1.581239343,2.173076153,0.755420983,0.64310962,1.426366806,0,0.921660781,-1.190432429,-1.615589023,0,0.651114106,-0.654226959,-1.274344921,3.101961374,0.823760569,0.938191414,0.971758187,0.789176345,0.430553287,0.961356938,0.957817912,4
1,0.409391344,-1.884683609,-1.027292013,1.672451735,-1.604598284,1.33801496,0.055427443,0.013465881,2.173076153,0.509783268,-1.038338065,0.707862318,0,0.746917546,-0.358465105,-1.646654248,0,0.367057979,0.06949646,1.37713027,3.101961374,0.869418383,1.222082973,1.000627398,0.545044959,0.698652506,0.977314472,0.828786075,5
1,0.93389535,0.629129708,0.527534842,0.238032743,-0.966569126,0.547811151,-0.059439227,-1.706866145,2.173076153,0.941002727,-2.653732777,-0.157219991,0,1.030370355,-0.175505102,0.523020923,2.548224449,1.3735466,1.291248083,-1.467454433,0,0.901837289,1.083671212,0.979696095,0.7833004,0.849195182,0.89435631,0.774879396,6
1,1.405143738,0.536602616,0.689554334,1.179567337,-0.110061154,3.202404976,-1.526960015,-1.576033473,0,2.931536913,0.56734246,-0.130033344,2.214872122,1.787122726,0.899498582,0.585151315,2.548224449,0.401865214,-0.151201695,1.163489103,0,1.667070508,4.039272785,1.175828457,1.045351744,1.542971969,3.534826756,2.740753889,7
1,0.945973992,1.111244321,1.218337059,0.907639086,0.821536958,1.153243303,-0.365420282,-1.566054821,0,0.744719207,0.720819533,-0.375822932,2.214872122,0.608879149,0.30783695,-1.281638384,0,1.597967982,-0.451018035,0.063653447,3.101961374,0.829024136,0.980648279,0.994359791,0.908247828,0.775878906,0.783311367,0.725121796,8
0,0.739356756,-0.178290427,0.829934239,0.504539073,-0.130216748,0.961051345,-0.355517983,-1.717399359,2.173076153,0.620956063,-0.481741041,-1.199193239,0,0.982601404,0.081185028,-0.290323645,0,1.064662933,0.774064958,0.398820341,3.101961374,0.94453603,1.026260614,0.982196748,0.542114675,1.250978947,0.830044627,0.761307955,9
1,1.383548737,0.889179289,0.618532062,1.081547022,0.344605565,0.956379354,0.854542971,-1.129207015,2.173076153,0.545665741,-0.307865173,-0.62327981,2.214872122,0.348257124,1.024202585,0.184077665,0,0.781336904,-1.636125565,1.144067287,0,0.522238493,0.737638533,0.986199558,1.349615693,0.81278789,0.953406453,0.779722631,10
1,1.343652725,0.838532925,-1.061138511,2.472015142,-0.572631717,1.512709975,1.143690109,0.855561972,0,0.884220302,1.47460556,-1.360648751,1.107436061,1.587265611,2.234833479,0.077568486,0,1.60940814,2.396404743,0.757293522,0,0.934020102,0.844707251,1.077844024,1.400183678,0.947774529,1.007614255,0.901017487,11
